ALTITUDE (m),HEART RATE (bpm),EPOC (ml/kg),VENTILATION (l/min),VO2 (ml/kg/min),ENERGY (kcal),SPEED,CADENCE,TEMPERATURE (C),DISTANCE (m),RESPIRATION RATE (bpm),SECONDS,IBI,CORRECTED,
297,111,0.212091,30,25,8.58772,1.46667,0,30,0,22,0,632,632,
297,116,0.322943,31,26,8.74735,1.46667,0,30,19,24,10,612,612,
302,116,0.60356,36,28,9.52295,1.92222,0,31,44,25,20,269,269,
302,124,0.913551,41,31,10.6447,2.14074,0,31,62,26,30,102,102,
304,133,1.32015,46,34,11.6053,2.51358,0,31,89,27,40,253,253,
308,135,1.7893,49,35,12.1244,2.57119,0,32,116,29,50,118,118,
312,138,2.48679,53,37,12.5812,2.4904,0,32,141,30,60,492,492,
316,141,3.0708,57,38,12.9437,2.43013,0,32,165,32,70,239,239,
320,144,3.69846,60,38,13.229,2.44338,0,31,189,33,80,348,348,
323,145,4.3509,62,39,13.3822,2.48113,0,31,214,34,90,228,228,
326,146,5.23716,64,39,13.4631,2.52704,0,31,239,36,100,370,370,
328,146,5.90821,65,39,13.5012,2.47568,0,31,265,36,110,145,145,
333,146,6.59494,68,39,13.6033,2.45856,0,31,288,37,120,435,435,
335,149,7.3056,69,40,13.7466,2.55285,0,31,314,37,130,571,571,
338,150,8.27966,70,40,13.8684,2.51762,0,32,340,38,140,301,301,
339,151,9.02305,71,40,13.9288,2.40587,0,32,364,38,150,270,270,
343,152,9.77329,71,40,13.9704,2.43529,0,32,387,38,160,565,565,
346,152,10.5262,71,40,13.9884,2.51176,0,32,413,38,170,557,557,
350,152,11.529,72,40,13.993,2.47059,0,32,438,38,180,53,53,
354,152,12.2882,72,41,14.036,2.42353,0,31,462,38,190,496,496,
357,154,13.0535,72,41,14.0718,2.40784,0,31,486,38,200,543,543,
360,153,13.8199,73,41,14.0821,2.40261,0,31,510,38,210,540,540,
364,154,14.852,73,41,14.1372,2.36754,0,31,534,38,220,534,534,
367,155,15.6278,72,41,14.1396,2.38918,0,31,557,38,230,530,530,
369,153,16.3906,72,41,14.0768,2.49639,0,31,582,38,240,523,523,
372,153,17.1442,72,41,14.0385,2.5988,0,31,608,38,250,516,516,
373,153,18.1547,74,41,14.0811,2.66627,0,31,635,38,260,506,506,
376,154,18.934,75,41,14.1858,2.65542,0,31,662,38,270,505,505,
376,156,19.7331,75,41,14.2874,2.55181,0,31,688,38,280,500,500,
381,156,20.5463,76,41,14.3588,2.4506,0,31,712,38,290,491,491,
385,158,21.6473,76,42,14.427,2.4502,0,31,736,38,300,484,484,
388,157,22.4781,77,42,14.448,2.4834,0,31,761,38,310,490,490,
392,158,23.3217,78,42,14.5165,2.49447,0,31,786,38,320,483,483,
395,160,24.1841,78,42,14.6072,2.49816,0,31,811,38,330,476,476,
398,161,25.356,79,42,14.693,2.49939,0,31,836,38,340,474,474,
401,162,26.2431,78,42,14.7196,2.53313,0,31,861,38,350,473,473,
404,161,27.1174,77,42,14.6618,2.54438,0,30,887,38,360,471,471,
407,159,27.9773,77,42,14.6037,2.51479,0,30,912,38,370,469,469,
410,160,29.1234,77,42,14.6131,2.60493,0,30,937,38,380,463,463,
412,160,29.9736,76,42,14.5699,2.76831,0,30,965,38,390,465,465,
414,159,30.799,75,42,14.4571,2.82277,0,30,994,38,400,462,462,
415,156,31.5947,74,41,14.3241,2.84092,0,30,1022,39,410,460,460,
416,156,32.6218,74,41,14.2037,2.81364,0,30,1051,39,420,456,456,
417,154,33.3783,75,41,14.1646,2.70455,0,31,1078,39,430,462,462,
418,155,34.1558,78,41,14.2774,2.60152,0,31,1104,39,440,561,561,
422,159,34.9739,79,42,14.4703,2.60051,0,32,1129,39,450,558,558,
425,160,36.0974,79,42,14.5792,2.7335,0,32,1156,39,460,566,566,
428,159,36.9423,79,42,14.5829,2.8445,0,32,1185,40,470,559,559,
431,159,37.7848,79,42,14.5766,2.8815,0,32,1214,40,480,552,552,
431,159,38.6272,80,42,14.5814,2.92717,0,33,1243,40,490,540,540,
432,160,39.7596,80,42,14.6226,2.90906,0,33,1273,40,500,547,547,
433,160,40.6173,81,42,14.6576,2.86969,0,33,1301,40,510,536,536,
437,161,41.4858,81,42,14.7088,2.8899,0,33,1330,40,520,531,531,
438,162,42.3545,80,42,14.7077,2.92997,0,33,1359,40,530,520,520,
437,159,43.4631,77,42,14.5105,3.00999,0,33,1389,40,540,512,512,
438,156,44.2323,75,41,14.2739,3.03666,0,34,1420,40,550,511,511,
438,154,44.9473,73,41,14.0293,2.94555,0,34,1450,40,560,509,509,
438,150,45.6189,73,40,13.8356,2.94852,0,34,1478,40,570,503,503,
438,150,46.5008,74,40,13.8183,2.98284,0,34,1509,40,580,499,499,
438,152,47.1918,76,40,13.9595,2.92761,0,34,1538,40,590,498,498,
439,154,47.9297,78,41,14.1839,2.8092,0,34,1567,40,600,497,497,
442,158,48.7287,81,42,14.463,2.7364,0,34,1593,40,610,491,491,
446,162,49.8812,82,43,14.77,2.7788,0,34,1621,40,620,484,484,
449,164,50.7857,82,43,14.8945,2.79293,0,35,1649,40,630,490,490,
453,163,51.6942,82,43,14.9103,2.76431,0,34,1677,40,640,488,488,
455,164,52.6,81,43,14.9013,2.82144,0,34,1704,40,650,479,479,
456,162,53.7897,82,43,14.8464,3.00715,0,35,1734,40,660,475,475,
456,163,54.7024,84,43,14.9446,3.00238,0,34,1766,40,670,480,480,
459,165,55.642,83,43,15.0527,2.96746,0,34,1794,40,680,478,478,
460,164,56.5852,85,43,15.0658,2.88915,0,34,1825,40,690,468,468,
464,166,57.8767,85,44,15.1928,2.79638,0,34,1851,40,700,467,467,
467,167,58.8503,84,44,15.1862,2.89879,0,34,1880,40,710,474,474,
468,164,59.7977,84,44,15.0855,2.96626,0,34,1910,40,720,472,472,
470,166,60.7353,83,43,15.0539,2.95542,0,34,1940,41,730,460,460,
470,162,61.9298,82,43,14.8558,3.01847,0,34,1969,41,740,461,461,
470,161,62.7826,81,43,14.7216,3.00616,0,34,2001,41,750,467,467,
469,160,63.5975,80,42,14.5648,2.96872,0,34,2029,41,760,464,464,
469,157,64.3612,78,42,14.3498,3.02291,0,33,2060,42,770,454,454,
468,154,65.3006,77,41,14.0806,3.00764,0,32,2090,42,780,455,455,
465,152,65.9633,77,40,13.944,3.03588,0,32,2120,42,790,460,460,
464,151,66.6091,78,40,13.8779,3.04529,0,32,2151,42,800,457,457,
464,151,67.2585,79,40,13.9043,3.04843,0,32,2181,42,810,454,454,
464,153,68.167,81,41,14.0784,2.98281,0,31,2212,42,820,448,448,
467,156,68.8954,82,41,14.2533,2.99427,0,31,2240,42,830,449,449,
468,158,69.6432,80,41,14.3306,3.06476,0,31,2272,42,840,451,451,
469,156,70.3613,77,41,14.1935,3.02159,0,31,2302,42,850,447,447,
469,152,71.2084,75,40,13.7881,3.0072,0,30,2332,42,860,451,451,
466,148,71.772,75,39,13.5487,3.03573,0,30,2362,42,870,451,451,
466,147,72.3194,75,39,13.4894,3.01191,0,31,2393,42,880,447,447,
466,149,72.8732,76,39,13.5254,3.00397,0,31,2422,42,890,445,445,
466,148,73.625,76,39,13.5852,3.06799,0,31,2453,42,900,446,446,
466,149,74.2242,78,40,13.7395,3.08933,0,32,2484,42,910,454,454,
466,152,74.8791,81,41,13.988,3.06311,0,32,2515,42,920,452,452,
466,156,75.5903,82,41,14.2279,3.05437,0,32,2545,42,930,443,443,
468,158,76.588,81,42,14.3816,3.05146,0,32,2576,42,940,443,443,
469,157,77.3402,81,42,14.3845,3.11715,0,32,2606,42,950,448,448,
470,158,78.0935,81,42,14.3942,3.13905,0,32,2639,42,960,453,453,
471,158,78.8541,81,42,14.4289,3.04635,0,33,2669,41,970,446,446,
473,159,79.8882,81,42,14.5016,2.91545,0,33,2699,41,980,442,442,
475,159,80.6665,80,42,14.5023,2.83848,0,33,2726,41,990,443,443,
476,159,81.4193,77,42,14.3965,2.91283,0,33,2755,41,1000,444,444,
476,156,82.1255,75,41,14.2056,3.03761,0,33,2785,40,1010,446,446,
476,153,82.9951,74,40,13.9734,3.0792,0,33,2817,40,1020,442,442,
475,152,83.6335,75,40,13.9593,3.0264,0,33,2847,39,1030,449,449,
476,154,84.3066,76,41,14.1135,3.0088,0,33,2877,39,1040,445,445,
477,158,85.0178,75,41,14.2684,2.9696,0,33,2907,38,1050,438,438,
480,157,85.9446,71,41,14.1621,2.8232,0,33,2936,38,1060,436,436,
480,154,86.5683,69,40,13.8977,2.8744,0,32,2962,38,1070,441,441,
481,151,87.1205,68,39,13.6017,2.99147,0,32,2994,38,1080,446,446,
480,148,87.6195,68,39,13.3861,2.96382,0,32,3023,38,1090,441,441,
480,148,88.27,70,39,13.3704,2.92127,0,31,3053,39,1100,439,439,
481,149,88.7957,72,39,13.5325,2.84042,0,31,3081,39,1110,442,442,
482,151,89.3757,75,40,13.7678,2.78014,0,31,3109,39,1120,440,440,
485,153,90.0135,77,41,14.01,2.82671,0,30,3136,40,1130,439,439,
486,156,90.9421,79,41,14.2681,2.9089,0,30,3166,40,1140,439,439,
487,158,91.6743,79,42,14.3755,2.90297,0,30,3195,40,1150,444,444,
488,158,92.4194,80,42,14.4284,2.83432,0,30,3224,40,1160,445,445,
488,159,93.1861,81,42,14.5208,2.74477,0,29,3251,40,1170,442,442,
492,161,94.267,82,43,14.7169,2.68159,0,29,3278,40,1180,434,434,
495,163,95.1118,82,43,14.8157,2.59386,0,29,3304,40,1190,436,436,
498,162,95.9657,82,43,14.8517,2.59795,0,29,3329,40,1200,440,440,
501,164,96.8337,82,43,14.9088,2.59932,0,29,3356,39,1210,438,438,
504,163,97.9939,82,43,14.9163,2.63311,0,29,3381,39,1220,441,441,
507,164,98.8747,82,43,14.9595,2.71104,0,28,3409,39,1230,437,437,
509,164,99.7601,82,43,14.9768,2.70368,0,28,3436,39,1240,443,443,
511,164,100.636,81,43,14.9421,2.66789,0,28,3463,39,1250,441,441,
513,163,101.772,81,43,14.8428,2.65596,0,28,3489,39,1260,432,432,
516,163,102.609,81,43,14.8075,2.68532,0,28,3516,40,1270,431,431,
518,162,103.437,82,43,14.7798,2.62844,0,28,3543,40,1280,433,433,
520,162,104.265,83,43,14.7843,2.54281,0,28,3568,41,1290,439,439,
523,163,105.399,85,43,14.8882,2.48094,0,28,3593,41,1300,438,438,
526,164,106.287,86,43,15.0116,2.49365,0,28,3617,42,1310,433,433,
528,165,107.197,87,44,15.0847,2.56455,0,28,3643,42,1320,434,434,
530,165,108.106,87,44,15.0857,2.58818,0,28,3669,42,1330,436,436,
533,165,109.311,87,44,15.0608,2.66273,0,28,3695,42,1340,434,434,
